len;duration;threads
64;187440674;1
64;187046264;1
64;190401449;1
64;190544922;1
64;192158610;1
64;184625488;1
64;184536987;1
64;182592123;1
64;183705322;1
64;184537557;1
128;179368816;1
128;186495321;1
128;171566041;1
128;181587727;1
128;183169840;1
128;182168131;1
128;182167887;1
128;182266927;1
128;182249675;1
128;190267497;1
256;182541870;1
256;182807170;1
256;182842895;1
256;184886149;1
256;183218303;1
256;183902669;1
256;183158366;1
256;171533285;1
256;172744914;1
256;182265259;1
512;182169026;1
512;182384155;1
512;182360515;1
512;183040772;1
512;180117391;1
512;183597698;1
512;182939860;1
512;182082194;1
512;182707479;1
512;182664225;1
1024;177918783;1
1024;181188640;1
1024;181494548;1
1024;182755697;1
1024;181963826;1
1024;186827108;1
1024;182181844;1
1024;182312053;1
1024;182429321;1
1024;190571900;1
2048;185900391;1
2048;180959879;1
2048;175737589;1
2048;181954712;1
2048;182842773;1
2048;183455852;1
2048;183995564;1
2048;182624634;1
2048;182664225;1
2048;182436849;1
2560;175789226;1
2560;179998901;1
2560;182369060;1
2560;182522542;1
2560;182595174;1
2560;182151774;1
2560;182974365;1
2560;182714193;1
2560;182777384;1
2560;182806072;1
3072;187811035;1
3072;182572266;1
3072;178424357;1
3072;182348918;1
3072;182097250;1
3072;182658040;1
3072;183555542;1
3072;183154704;1
3072;182652303;1
3072;182181438;1
4096;182941081;1
4096;189111003;1
4096;185816731;1
4096;186140299;1
4096;184954387;1
4096;184964763;1
4096;185468221;1
4096;184462525;1
4096;184921102;1
4096;186715292;1
6144;291999227;1
6144;293823934;1
6144;292215698;1
6144;291902547;1
6144;293161173;1
6144;292237224;1
6144;288260823;1
6144;293195150;1
6144;293307292;1
6144;292989013;1
8192;337263224;1
8192;333571289;1
8192;338335694;1
8192;338213542;1
8192;336504232;1
8192;330792806;1
8192;341291016;1
8192;341014811;1
8192;337453248;1
8192;340165405;1
10240;367198649;1
10240;368660848;1
10240;366832113;1
10240;362269572;1
10240;367160278;1
10240;363016032;1
10240;366631145;1
10240;369662760;1
10240;367486857;1
10240;364719239;1
12288;391256429;1
12288;378657105;1
12288;377169515;1
12288;385527466;1
12288;380063233;1
12288;383391317;1
12288;384078369;1
12288;376507040;1
12288;386020752;1
12288;377221476;1
16384;537392050;1
16384;527298136;1
16384;535637289;1
16384;543879354;1
16384;550306031;1
16384;588349406;1
16384;549916707;1
16384;528220053;1
16384;610370077;1
16384;514773234;1
24576;753696574;1
24576;813510417;1
24576;757117920;1
24576;810679119;1
