size;duration;ops;processed
536870912;70562175;134217728;536870912
536870912;69968628;134217728;536870912
536870912;68931803;134217728;536870912
536870912;72965210;134217728;536870912
536870912;68425415;134217728;536870912
536870912;68561645;134217728;536870912
536870912;73193888;134217728;536870912
536870912;71305745;134217728;536870912
536870912;69925455;134217728;536870912
536870912;70094767;134217728;536870912
